Key|Name|Region|Altitude_m|Country|Lat|Lng|Type|Notes|City_Col_Index|Col_Index|Temp_Seasonality|Rain_Seasonality|AHT|AHT_Max|AHT_Min|AR_Total|Record_Temps
Valparaiso|Valparaiso|South America|10|Chile|"33° 3' 0"" S"|"71° 37' 0"" W"|2|Warm summer Mediterranean / oceanic climate|745|AFZ|||17.5|20.8|14.3|372.5|
Arica|Arica|South America|45|Chile|"18° 29' 0"" S"|"70° 20' 0"" W"|2|Cold desert climate|746|AGA|||22|26.2|18.3|1.5|
San_Pedro_de_Atacama|San Pedro de Atacama|South America|2407|Chile|"22° 55' 0"" S"|"68° 12' 0"" W"|2|Cold desert climate|747|AGB|||20.9|24.3|16.2|42|
Santiago|Santiago|South America|522|Chile|"33° 27' 0"" S"|"70° 40' 0"" W"|2|Cold semi-arid climate|748|AGC|||22.1|29.4|14.3|281.9|
Parana,_Argentina|Parana, Argentina|South America|60|Argentina|"26° 49' 0"" S"|"65° 13' 0"" W"|2|Humid subtropical climate|749|AGD|||24.1|31.3|17.1|1069.1|
Bahia_Blanca|Bahia Blanca|South America|20|Argentina|"38° 43' 0"" S"|"62° 16' 0"" W"|2|Humid subtropical / oceanic climate|750|AGE|||21.9|30.6|13.7|645.4|43.8
Bilbao|Bilbao|Europe|19|Spain|"43° 15' 25"" N"|"2° 55' 25"" W"|2|Oceanic / warm summer Mediterranean climate|751|AGF|||19.5|26|13.4|1122|
Toulouse|Toulouse|Europe|150|France|"43° 36' 16.2"" N"|"1° 26' 38.4"" E"|2|Humid subtropical / warm summer Mediterranean climate|752|AGG|||18.5|28|9.5|638.3|
Porto|Porto|Europe|1|Portugal|"41° 9' 43.71"" N"|"8° 37' 19.03"" W"|2|Warm summer Mediterranean / oceanic climate|753|AGH|||19.6|25.7|13.8|1236.8|
Oslo|Oslo|Europe|50|Norway|"59° 57' 0"" N"|"10° 45' 0"" E"|2|Humid continental (mild summer, wet all year) / subarctic (cool summer, wet all year) climate|754|AGI|||9.6|21.5|-1.8|763|-24.9
Bergen|Bergen|Europe|2|Norway|"60° 23' 22"" N"|"5° 19' 48"" E"|2|Oceanic / subpolar oceanic climate|755|AGJ|||11.8|20.7|4.4|2250|
Tromso|Tromso|Europe|14|Norway|"69° 40' 58"" N"|"18° 56' 34"" E"|2|Subarctic (cool summer, wet all year) / subpolar oceanic climate|756|AGK|||5.1|15.3|-2.2|1031|
Kiruna|Kiruna|Europe|460|Sweden|"67° 51' 0"" N"|"20° 13' 0"" E"|2|Subarctic (cool summer, wet all year) / tundra climate|757|AGL|||1.8|17.9|-11.1|522.2|-43.3
Norilsk|Norilsk|Russia|150|Russian Federation|"69° 20' 0"" N"|"88° 13' 0"" E"|2|Subarctic (cool summer, wet all year) / tundra climate|758|AGM|||-6.1|18.2|-24.2|341|-53.1
